161;789
161,122;756
161,122,108;910
161,122,108,63;873
161,122,108,63,87;925
161,122,108,63,87,83;943
161,122,108,63,87,83,435;954
161,122,108,63,87,83,435,184;956
161,122,108,63,87,83,435,184,6;946
161,122,108,63,87,83,435,184,6,130;923
161,122,108,63,87,83,435,184,6,130,250;956
161,122,108,63,87,83,435,184,6,130,250,212;958
161,122,108,63,87,83,435,184,6,130,250,212,167;965
161,122,108,63,87,83,435,184,6,130,250,212,167,65;965
161,122,108,63,87,83,435,184,6,130,250,212,167,65,129;954
161,122,108,63,87,83,435,184,6,130,250,212,167,65,129,22;965
161,122,108,63,87,83,435,184,6,130,250,212,167,65,129,22,284;965
161,122,108,63,87,83,435,184,6,130,250,212,167,65,129,22,284,115;965
161,122,108,63,87,83,435,184,6,130,250,212,167,65,129,22,284,115,88;965
161,122,108,63,87,83,435,184,6,130,250,212,167,65,129,22,284,115,88,106;965
